acc_x,acc_y,acc_z,ground_truth,window_id
1.46,9.639999,0.32,2,1
1.21,9.79,0.11,2,1
0.86,9.88,-0.12,2,1
0.85,9.58,-0.02,2,1
1.13,9.639999,0.31,2,1
1.04,9.65,0.23,2,1
1.01,9.75,-0.15,2,1
1.01,9.76,-0.08,2,1
0.89,9.61,-0.1,2,1
1.29,9.53,0.31,2,1
1.08,9.66,0.25,2,1
1.09,9.639999,0.56,2,1
1.17,9.63,0.21,2,1
0.95,9.679999,0.11,2,1
1.11,9.61,0.3,2,1
1.24,9.44,0.19,2,1
1.01,9.82,-0.47,2,1
0.98,9.57,-0.03,2,1
0.99,9.66,-0.28,2,1
1.24,9.54,-0.08,2,1
1.1,9.639999,-0.06,2,1
0.84,9.82,-0.23,2,1
1.03,9.69,-0.01,2,1
0.91,9.73,-0.38,2,1
1.24,9.639999,0.05,2,1
0.86,9.91,-0.42,2,1
0.92,9.67,-0.34,2,1
0.96,9.639999,-0.14,2,1
0.94,9.75,-0.32,2,1
1.26,9.54,-0.08,2,1
1.01,9.62,-0.25,2,1
1.03,9.61,-0.3,2,1
0.9,9.639999,-0.52,2,1
1.13,9.65,-0.2,2,1
0.96,9.8,-0.63,2,1
0.86,9.99,-0.71,2,1
0.92,9.77,-0.25,2,1
0.95,9.5,-0.48,2,1
1.25,9.52,-0.37,2,1
1.05,9.65,-0.72,2,1
0.98,9.52,-0.52,2,1
0.88,9.91,-1.13,2,1
1.16,9.62,-0.44,2,1
1.15,9.5,-0.52,2,1
1.11,9.59,-0.34,2,1
0.75,9.9,-0.99,2,1
0.83,9.8,-0.85,2,1
0.8,9.67,-0.96,2,1
1.2,9.4,-0.5,2,1
0.95,9.76,-0.79,2,1
1.22,9.639999,-0.66,2,1
1.01,9.429999,-0.63,2,1
0.97,9.639999,-0.8,2,1
1.17,9.679999,-0.48,2,1
1.18,9.639999,-0.62,2,1
0.91,9.74,-0.85,2,1
0.73,9.75,-1.03,2,1
1.2,9.639999,-0.62,2,1
0.78,9.77,-0.94,2,1
1.34,9.429999,-0.41,2,1
0.94,9.83,-0.74,2,1
1.23,9.75,-0.56,2,1
0.94,9.809999,-0.86,2,1
0.94,9.78,-0.65,2,1
1.28,9.73,-0.44,2,1
1.34,9.4,-0.44,2,1
1.31,9.54,-0.19,2,1
1.16,9.719999,-0.59,2,1
0.77,9.74,-0.78,2,1
0.8,9.69,-0.68,2,1
0.74,9.71,-0.55,2,1
1.21,9.61,-0.39,2,1
0.84,9.74,-0.6,2,1
1.02,9.51,-0.55,2,1
0.75,9.7,-0.65,2,1
1.09,9.52,-0.48,2,1
1.39,9.469999,-0.39,2,1
0.87,9.8,-0.72,2,1
1.25,9.54,-0.36,2,1
0.64,9.79,-0.72,2,1
0.75,9.809999,-0.58,2,1
0.66,9.54,-0.7,2,1
1.22,9.45,-0.36,2,1
1.27,9.51,-0.13,2,1
0.77,9.65,-0.47,2,1
0.94,9.8,-0.62,2,1
1.23,9.679999,-0.36,2,1
1.3,9.44,-0.14,2,1
1.21,9.69,-0.24,2,1
0.84,9.83,-0.56,2,1
0.94,9.65,-0.34,2,1
0.67,9.63,-0.36,2,1
1.21,9.44,0,2,1
0.93,9.69,-0.18,2,1
1.08,9.73,-0.21,2,1
1.08,9.73,-0.18,2,1
1.17,9.559999,-0.03,2,1
1,9.73,-0.08,2,1
0.81,9.66,-0.51,2,1
1.08,9.33,0.19,2,1
0.75,9.63,-0.37,2,1
0.69,9.77,-0.5,2,1
0.83,9.929999,-0.62,2,1
1.27,9.599999,0.02,2,1
1.36,9.599999,0.09,2,1
1.12,9.8,-0.18,2,1
0.99,9.679999,-0.06,2,1
0.84,9.74,-0.35,2,1
1.08,9.65,0,2,1
1.23,9.51,0.16,2,1
1.11,9.46,0.26,2,1
0.84,9.66,-0.19,2,1
0.88,9.77,-0.39,2,1
1.04,9.8,-0.04,2,1
1.14,9.7,0.16,2,1
0.92,9.809999,-0.45,2,1
0.85,9.78,-0.59,2,1
0.8,9.74,-0.84,2,1
1.11,9.69,-0.51,2,1
0.92,9.63,-0.36,2,1
1.16,9.51,-0.15,2,1
0.96,9.7,-0.59,2,1
0.96,9.73,-0.42,2,1
0.92,9.639999,-0.41,2,1
0.92,9.75,-0.5,2,1
1.17,9.719999,-0.23,2,1
0.91,9.78,-0.49,2,1
1.02,9.59,-0.26,2,1
0.69,9.61,-0.53,2,1
1.1,9.41,-0.13,2,1
0.92,9.559999,-0.29,2,1
1.16,9.63,-0.13,2,1
0.87,9.61,-0.53,2,1
0.76,9.929999,-0.52,2,1
0.98,9.67,-0.17,2,1
1.01,9.67,-0.4,2,1
0.94,9.599999,-0.3,2,1
0.76,9.66,-0.66,2,1
0.69,9.84,-0.7,2,1
0.7,9.8,-0.73,2,1
1.13,9.469999,-0.07,2,1
1.21,9.65,-0.29,2,1
0.89,9.77,-0.44,2,1
0.67,9.929999,-0.63,2,1
1.16,9.48,0,2,1
1,9.51,-0.13,2,1
0.9,9.69,-0.27,2,1
1.15,9.51,0,2,1
1.07,9.63,-0.21,2,1
0.74,9.73,-0.47,2,1
1.22,9.48,-0.06,2,1
0.84,9.69,-0.32,2,1
1.07,9.76,-0.34,2,1
0.78,9.88,-0.45,2,1
0.71,9.83,-0.56,2,1
0.95,9.65,-0.3,2,1
0.72,9.83,-0.73,2,1
1.09,9.51,-0.05,2,1
0.87,9.639999,-0.53,2,1
1.14,9.679999,-0.15,2,1
0.72,9.809999,-0.53,2,1
0.54,9.74,-0.65,2,1
0.93,9.809999,-0.61,2,1
0.95,9.54,-0.56,2,1
0.67,9.86,-0.52,2,1
0.89,9.8,-0.96,2,1
0.89,9.55,-0.6,2,1
1.2,9.57,-0.35,2,1
1.06,9.679999,-0.35,2,1
0.73,9.88,-0.69,2,1
0.51,9.9,-0.87,2,1
1.05,9.53,-0.42,2,1
1.03,9.59,-0.52,2,1
0.78,9.75,-0.63,2,1
0.9,9.58,-0.49,2,1
0.61,9.7,-0.68,2,1
1.17,9.82,-0.27,2,1
0.69,10.04,-0.67,2,1
1.23,9.679999,-0.33,2,1
1.1,9.7,-0.38,2,1
1.26,9.51,-0.49,2,1
0.84,9.79,-0.4,2,1
0.88,9.639999,-0.61,2,1
1.23,9.46,-0.27,2,1
0.51,9.78,-0.83,2,1
0.87,9.8,-0.68,2,1
0.68,9.66,-0.46,2,1
0.71,9.809999,-0.66,2,1
1.13,9.54,-0.12,2,1
1.16,9.59,-0.25,2,1
1,9.49,-0.24,2,1
0.74,9.75,-0.83,2,1
0.62,9.7,-0.53,2,1
1.26,9.71,-0.16,2,1
0.77,9.67,-0.55,2,1
1.05,9.719999,-0.2,2,1
0.77,9.82,-0.52,2,1
1.22,9.559999,-0.11,2,1
0.61,9.78,-0.45,2,1
0.97,9.57,0.23,2,1
